"","Longitude","Latitude","AreaKM2","prediction"
"368",-37.93913378,-20.01786497,179379.4406,162
"369",62.00001146,-15.97738914,189491.6891,19
"370",129.9747567,-7.986975327,189395.9156,290
"371",-161.9999885,-19.97738914,185346.9753,29
"372",-137.9999787,-15.97735921,189487.5792,52
"373",70.00001146,-31.97738914,167655.0629,0
"374",158.0000115,-39.97738914,151724.8938,0
"375",58.00001146,-47.97738914,132791.5122,0
"376",166.0000115,-63.97738914,87327.93592,0
"377",-1.958606869,60.07070103,94441.42754,76
"378",-117.9999885,24.02261086,180250.2648,0
"379",102.0000115,-43.97738914,142614.132,0
"380",-145.9999885,0.022610864,196906.2159,0
"381",-149.9999885,36.02261086,159993.6391,0
"382",-41.99998854,-59.97738914,99515.12208,0
